,Group,Row,Label,Options
48,Address Line,63,Address line 1,
49,Address Line,64,Address line 2,
50,Address Line,65,Address line 3,
51,Address Line,66,Address line 4,
52,Address Line,67,Address line 5,
47,Date of Approval,62,Approval date,
28,Folio References,40,Cover page,
29,Folio References,41,Governor's Approval,
30,Folio References,42,Letter of award / upward review,
31,Folio References,43,Prepayment certificate,
32,Folio References,44,Inspection report,
33,Folio References,45,Inspection report File number,
34,Folio References,46,BOQ,
35,Folio References,47,Valuation,
36,Folio References,48,Delivery notes,
37,Folio References,49,Project Brief,
38,Folio References,50,APG,
39,Folio References,51,Valid Performance Bond,
40,Folio References,52,Letter of completion,
41,Folio References,53,Agency pictures,
42,Folio References,54,MED Pictures,
43,Folio References,55,Checklist,
44,Folio References,56,Folio reference for memo,
45,Folio References,57,Memo file number,
46,Folio References,58,Approval file number,
53,Mail Reference,68,Mail reference number,
54,Mail Reference,69,Mail reference date,
0,Prepayment Certificate Details,3,Client Ministry,
1,Prepayment Certificate Details,4,Name of Project Supervisor,
2,Prepayment Certificate Details,5,Contractor name:,
3,Prepayment Certificate Details,6,Payment stage:,
4,Prepayment Certificate Details,7,Project Description,
5,Prepayment Certificate Details,8,Local Gov. Area,
6,Prepayment Certificate Details,10,What is the Contract sum?,
7,Prepayment Certificate Details,11,What is the Revised Contract sum?,
8,Prepayment Certificate Details,12,Percentage of Advance payment? (as specified in the award letter),
9,Prepayment Certificate Details,13,What is the work completed to date?,
10,Prepayment Certificate Details,14,Is there 5% retention?,
11,Prepayment Certificate Details,15,"What is the Previous Payment? (if none, write Nil )",
12,Prepayment Certificate Details,16,Percentage of Advance payment refunded,
13,Prepayment Certificate Details,18,Calculated Amount due (Do not edit),
14,Prepayment Certificate Details,19,Write out Amount due in words,
15,Project Details,24,Elements of work covered,
16,Project Details,25,Statement of Project Objectives:,
17,Project Details,26,Date of Award,
18,Project Details,27,Date of upward review,
19,Project Details,28,Effective Date of Commencement:,
20,Project Details,29,Duration of Contract:,
21,Project Details,30,Date of Delivery (Store Only),
22,Project Details,31,Date of Completion,
23,Project Details,32,Date of Inspection,
24,Project Details,33,Percentage of Work done,
25,Project Details,34,Physical Stage of Work,
26,Project Details,35,Date of Report,
27,Project Details,36,Is the scope specified in the BOQ OR BEME or Award letter ?,
55,Signatories,73,HOU/Staff 1,
56,Signatories,74,Designation,
57,Signatories,75,Staff 2,
58,Signatories,76,Designation,
