Group,Row,Label
Prepayment Certificate Details,3,Client Ministry
Prepayment Certificate Details,4,Name of Project Supervisor
Prepayment Certificate Details,5,Contractor name:
Prepayment Certificate Details,6,Payment stage:
Prepayment Certificate Details,7,Project Description
Prepayment Certificate Details,8,Local Gov. Area
Prepayment Certificate Details,10,What is the Contract sum?
Prepayment Certificate Details,11,What is the Revised Contract sum?
Prepayment Certificate Details,12,Percentage of Advance payment? (as specified in the award letter)
Prepayment Certificate Details,13,What is the work completed to date?
Prepayment Certificate Details,14,Is there 5% retention?
Prepayment Certificate Details,15,"What is the Previous Payment? (if none, write Nil )"
Prepayment Certificate Details,16,Percentage of Advance payment refunded
Prepayment Certificate Details,17,Vat
Prepayment Certificate Details,18,Calculated Amount Due
Prepayment Certificate Details,19,Amount in Words
Project Details,24,Elements of work covered
Project Details,25,Statement of Project Objectives:
Project Details,26,Date of Award
Project Details,27,Date of upward review
Project Details,28,Effective Date of Commencement:
Project Details,29,Duration of Contract:
Project Details,30,Date of Delivery (Store Only)
Project Details,31,Date of Completion
Project Details,32,Date of Inspection
Project Details,33,Percentage of Work done
Project Details,34,Physical Stage of Work
Project Details,35,Date of Report
Project Details,36,Is the scope specified in the BOQ OR BEME or Award letter?
Folio References,40,Cover page
Folio References,41,Governor's Approval
Folio References,42,Letter of award / upward review
Folio References,43,Prepayment certificate
Folio References,44,Inspection report
Folio References,45,Inspection report File number
Folio References,46,BOQ
Folio References,47,Valuation
Folio References,48,Delivery notes
Folio References,49,Project Brief
Folio References,50,APG
Folio References,51,Valid Performance Bond
Folio References,52,Letter of completion
Folio References,53,Agency pictures
Folio References,54,MED Pictures
Folio References,55,Checklist
Folio References,56,Folio reference for memo
Folio References,57,Memo file number
Folio References,58,Approval file number
Date of Approval,62,Approval date
Address Line,63,Address line 1
Address Line,64,Address line 2
Address Line,65,Address line 3
Address Line,66,Address line 4
Address Line,67,Address line 5
Mail Reference,68,Mail reference number
Mail Reference,69,Mail reference date
Signatories,73,HOU/Staff 1
Signatories,74,Designation
Signatories,75,Staff 2
Signatories,76,Designation
